Output Class
Go right
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Horn
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Speed Limit (50km/h)
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
Fences
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
No Entry
Unknown 4
Unknown 6
Unknown 6
Unknown 6
Unknown 6
Unknown 6
Unknown 6
Unknown 6
Unknown 6
Unknown 6
Unknown 6
Unknown 6
Unknown 6
Unknown 6
Unknown 6
Unknown 6
Keep Right
Go left or straight
Unknown 6
Dangerous curve to the left
Unknown 4
Unknown 6
Unknown 6
Unknown 6
Unknown 6
Unknown 6
Unknown 6
Unknown 6
Unknown 6
Unknown 6
Unknown 6
Unknown 6
Unknown 6
Unknown 6
Unknown 6
Unknown 6
Keep Right
Go left or straight
Unknown 6
Dangerous curve to the left
Give way
Give way
Give way
Give way
